City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Sharm El Sheikh,Sierra Sharm El Sheikh,Mohamed,Egypt,3 nights   ,June 2024,Family,Standard Double Room with Garden View,"June 21, 2024",view short distance sea restaurant snacks main pool waterfalls,stay,That I didn't stay more 😔,"The view, the short distance to the sea , restaurant, snacks ,the main pool waterfalls",-1,"['main', 'short distance', 'sea', 'restaurant snacks', 'pool waterfalls']",[],"['sea', 'pool', 'restaurant']",[]
Aswan,NUB INN,Julie,New Zealand,2 nights   ,October 2023,Group,Economy Double Room,"October 13, 2023",everything wonderful staff awesome location better,coffee machine desperately needs clean ongoing basis,The coffee machine desperately needs a clean and on an ongoing basis,Everything Wonderful staff and awesome location Couldn't be better,-1,"['location couldn', 'awesome', 'couldn better', 'staff', 'wonderful staff']","['desperately needs', 'ongoing basis', 'clean', 'coffee', 'machine']","['location', 'staff']",['clean']
Aswan,Philae Hotel Aswan,Pawel,United Kingdom,1 night   ,December 2024,Solo traveler,Deluxe Double or Twin Room with River View,"December 26, 2024",good location basic accommodation wifi unreliable works lobby breakfast adequate repetitive options daily river view amazing,staff members attempt sell trips soon enter pressuring excursions realise purchase tours stop paying attention extended stay despite booking higher category room tried give lower standard room cautious watch back overall worth much less usd per night,"Staff members attempt to sell trips as soon as you enter, pressuring you about excursions. Once they realise you won't purchase any tours, they stop paying attention to you. When I extended my stay, despite booking a higher category room, they tried to give me to a lower standard room. Be cautious and watch your back. Overall, worth much less than 70 usd per night","Good location, but basic accommodation. WiFi is unreliable and only works in the lobby. Breakfast is adequate and repetitive, with the same options daily.
River view is amazing!!!!",-1,"['wifi unreliable works', 'view amazing', 'river', 'works lobby', 'breakfast adequate']","['staff members attempt', 'stop paying', 'tours', 'lower standard room', 'extended stay']","['breakfast', 'view']","['room', 'staff']"
Sharm El Sheikh,V Hotel Sharm El Shiekh,Lilit,Estonia,7 nights   ,January 2025,Family,Superior Room Garden View,"January 5, 2025",whole complex nice beautiful gardens several pools food main buffet excellent big variety choose quality high well staff friendly welcoming,towels room stains towels near pools beach seen better days alcoholic drinks low quality,The towels in the room had stains. The towels near the pools and the beach have seen better days. Alcoholic drinks are low quality.,"The whole complex is very nice with beautiful gardens and several pools. The food in the main buffet is excellent, there is a big variety to choose from and the quality is high as well. The staff are friendly and welcoming.",-1,"['friendly welcoming', 'food main', 'pools', 'quality high staff', 'beautiful gardens']","['room', 'beach', 'seen better days', 'low quality', 'alcoholic drinks']","['food', 'staff']","['beach', 'room', 'drinks']"
Luxor,Temple Hotel Spa Luxor,Miriam,Spain,1 night   ,Jan-25,Family,Standard Twin Room,"January 30, 2025",sobre todo la amabilidad eficiencia de la chica de recepci n recuerdo el nombre,negative feedback,No Negative Feedback,"Especially the kindness and efficiency of the reception girl, I do not remember the name",1,"['efficiency reception', 'especially', 'remember', 'girl', 'especially kindness']",[],['reception'],[]
Hurghada,Serenity Alpha Beach Ex Serenity Makadi Beach,Thomas,Germany,5 nights   ,December 2024,Family,Superior Room Triple Garden View,"December 31, 2024",good,better wifi needed vegan food,Better WiFi needed. More vegan food,All was good,-1,[],"['better', 'needed', 'food', 'vegan', 'wifi']",[],"['wifi', 'food']"
Aswan,ABAZIDO Nubian Guest House,Timothy,United States,2 nights   ,June 2022,Couple,Deluxe Double Room with Sea View,"June 22, 2022",everything peaceful room amazing view nile river excellent lunch dinner make sure try lunch dinner great host comfortable room arranged tours easily drivers boat drivers wish could give place thanks jasmine,ac take cool room room baked extreme heat gone several hours,The AC does take a while to cool the room but that is because the room baked in the extreme heat while we are gone for several hours...,"Everything: a peaceful room with an amazing view on the Nile river, excellent lunch and dinner (make sure to try to their lunch/dinner!) Great host, comfortable room, arranged tours easily (drivers and boat drivers). 

Wish I could give this place an 11 but a 10 will do.

Thanks for having Jasmine and I!",-1,"['dinner great host', 'tours easily', 'jasmine', 'nile river', 'comfortable room']","['baked', 'gone hours', 'room room', 'ac does', 'extreme heat']","['nile', 'room']",['room']
Hurghada,Pickalbatros Aqua Blu Resort Hurghada,Caroline,United States,4 nights   ,July 2024,Family,Standard Double Room - Aqua Vista Area,"July 20, 2024",cleanliness service food,far beach,Far from the beach,"Cleanliness 
Service
Food",-1,"['service', 'food', 'cleanliness', 'cleanliness service', 'service food']",[],"['food', 'service']",[]
Hurghada,Tropitel Sahl Hasheesh,Gemma,United Kingdom,4 nights   ,August 2024,Family,Deluxe Room,"August 9, 2024",location beautiful clean staff went way help lots hotel never bored,wifi great much problem enjoying holiday problem husband check work emails ended paying stronger wifi connection,WiFi wasn’t great but that wasn’t much of a problem when enjoying the holiday- just a problem for husband who had to check work emails so ended up paying for stronger wifi connection.,Location was beautiful. It was very clean and the staff went out of their way to help you. Lots to do at the hotel so you will never be bored.,-1,"['help lots', 'bored', 'staff went way', 'location', 'beautiful clean']","['work emails ended', 'enjoying holiday', 'great wasn', 'problem husband', 'paying stronger wifi']","['location', 'clean', 'staff']",['wifi']
Luxor,Kemet House,Donna,Colombia,1 night   ,Jan-25,Couple,Double Room with Terrace,"February 10, 2025",es lindo c modo limpio volver quedarme,negative feedback,No Negative Feedback,"It is nice, comfortable and clean. I would stay there again.",1,"['clean', 'nice', 'clean stay', 'stay', 'nice comfortable']",[],['clean'],[]
Aswan,La Terrace,Xu,China,3 nights   ,November 2024,Couple,Deluxe Double or Twin Room with River View,"November 21, 2024",good location close ferry dock good restaurant mohamed kindhearted person almost arrange everything stay like felluca sunset early time ferry taxi airport highly recommended,negative feedback,No Negative Feedback,"Good location , very close to ferry dock and good restaurant. Mohamed is such a kindhearted person, he can almost arrange everything during our stay. Like felluca at sunset, early time ferry and taxi to airport. Highly recommended!",1,"['highly recommended', 'restaurant', 'close ferry dock', 'arrange stay', 'mohamed kindhearted']",[],['restaurant'],[]
Luxor,Steigenberger Nile Palace Luxor Convention Center,John,United Kingdom,1 night   ,Jan-25,Group,Classic Room City View King Bed,"February 1, 2025",location restaurants service great,negative feedback,No Negative Feedback,"Location, restaurants, service was great",1,"['service', 'great', 'location', 'restaurants', 'restaurants service great']",[],"['location', 'service']",[]
Luxor,Sonesta St George Hotel Convention Center,Nan,United Kingdom,3 nights   ,Jan-25,Family,Standard City View Room,"January 4, 2025",staff hotel,someone knocking door hang board disturb door,Someone knocking the door when I hang on the board “Don’t disturb” on the door.,The staff of the hotel,-1,[],"['don', 'hang', 'disturb', 'board', 'knocking door']",[],[]
Hurghada,Marina Square Hostel,Michael,United States,2 nights   ,August 2024,Couple,Double Room with Shared Bathroom,"August 25, 2024",loved place staff amazing us sad leave ladies make breakfast heaven sent little angels food good stayed private room half trip dorms half great experience great location safe clean,nothing move lol,Nothing. How do I move in? Lol,"We loved this place! The staff was amazing to us and we were sad to leave. The ladies that make your breakfast are heaven sent little angels and the food is so good! We stayed in a private room half the trip and the dorms the other half and had a great experience in both. It’s a great location, safe and clean.",-1,"['sad leave ladies', 'breakfast', 'staff amazing', 'great location safe', 'dorms half']",[],"['location', 'breakfast', 'staff']",[]
Luxor,Oasis hotel,Neville,India,1 night   ,September 2023,Couple,Standard Double Room with Shared Bathroom,"October 31, 2023",good budget hotel located close bus train station luxor makes good arriving leaving minute walk river luxor temple accessible enough us might long walk anyone summer heat room bathroom clean average sized price hotel manager welcoming gave us tea arrived helped tips get around couple good places eat within walking distance hotel well get cab take main tourist destinations outside hotel,budget hotel get pay room much ventilation view kind could enjoy ac pretty old though still work rooms upper floors accessible stairs anyone bit older knee problems might find challenge overall probably good night stay arriving leaving luxor bus train know would stay longer needed,"It's a budget hotel so you get what you pay for. The room didn't have much ventilation or a view of any kind that we could enjoy. The AC was pretty old though it did still work. Most of the rooms are on the upper floors, accessible only by stairs, so anyone who is a bit older or has knee problems might find this a challenge. 
Overall this is probably good for a 1-2 night stay if you're arriving or leaving Luxor by bus or train, but I don't know if I would stay here for longer than that if needed.","This is a good budget hotel that is located close to the bus and train station in Luxor, which makes it good for arriving or leaving. It's about a 10 minute walk from the river and the Luxor temple which was accessible enough for us, but it might be a long walk for anyone in the summer heat.
The room and bathroom were clean and about average sized for the price. The hotel manager was very welcoming and gave us tea when we arrived and helped with some tips on how to get around. There are a couple of good places to eat within walking distance of the hotel as well, and you can get a cab to take you to any of the main tourist destinations from just outside the hotel.",-1,"['temple accessible', 'luxor makes', 'couple good places', 'distance hotel cab', 'hotel manager']","['stairs bit older', 'didn ventilation', 'good night stay', 'budget hotel pay', 'luxor bus train']",['hotel'],['hotel']
Hurghada,Tropitel Sahl Hasheesh,Mohamed,Kuwait,2 nights   ,July 2024,Couple,Superior Room Sea View,"July 3, 2024",activities,room power outlets sign boards clear enough,"Room power outlets , sign boards not clear and not enough",Activities,-1,[],"['clear', 'boards', 'sign', 'room', 'power outlets']",[],['room']
Luxor,Pyramisa Hotel Luxor,Azhar,Pakistan,1 night   ,Apr-24,Couple,Double or Twin Nile view Room,"April 21, 2024",open spacious easy roam around enjoy also view nile,negative feedback,No Negative Feedback,Open and spacious easy to roam around and enjoy. Also view of Nile,1,"['easy', 'open', 'enjoy view', 'nile', 'roam']",[],"['nile', 'view']",[]
Sharm El Sheikh,Amphoras Blu,Assem,Germany,3 nights   ,June 2024,Couple,Standard Front Sea View,"June 30, 2024",friendly staff super comfy beds clean rooms restaurant aloha presents new amazing variety food every day overall satisfied value price reception nice gesture allowing us use hotel facilities check flight late night,nothing,Nothing,"Friendly staff, super comfy beds and clean rooms restaurant aloha presents new and amazing variety of food every day, overall we were satisfied and value for the price and the reception did a nice gesture allowing us to use the hotel facilities after check out as our flight was late at night",1,"['check flight', 'beds clean', 'day overall satisfied', 'restaurant', 'aloha presents new']",[],"['restaurant', 'clean']",[]
Aswan,Kato Dool Wellness Resort,Carsten,Australia,4 nights   ,May 2024,Solo traveler,Superior Room Nile View,"May 30, 2024",hotel nice feels like oriental deam nights beautifully architected built colorful great facilities incl fantastic pool however best thing hotel location top hill incredible views surrounding desert river nile views absolutely stunning everywhere property incl rooms,nothing bit trickly find initially course bit outside main track exactly wanted,"Nothing - it is a bit trickly to find initially, and of course it is a bit outside the main track, but for me that was exactly what I wanted.","The Hotel itself is very nice and feels like an oriental deam from 1001 nights. it is very beautifully architected and built, very colorful and has great facilities, incl. a fantastic pool. However, the best thing about the hotel is its location at the top of a hill with incredible views of the surrounding desert and the river Nile below. The views are absolutely stunning from everywhere at the property incl. all the rooms.",-1,"['absolutely stunning', 'pool best thing', 'river nile views', 'property incl rooms', 'hotel location hill']","['bit trickly', 'main', 'track exactly', 'wanted', 'outside']","['location', 'nile', 'pool', 'hotel']",[]
Aswan,Benben Dhara Hotels Adults,Krista,Canada,2 nights   ,October 2024,Couple,Infinity Suite with Temple and Nile View,"October 7, 2024",design room property spectacular views room beautiful see philae temple staff lovely also gluten free restaurant accommodating understanding finally brought breakfast room day amazing,location accessed boat takes time leave even book advance like wait guests bed really firm sleep great pool jacuzzi could cleaned bit better maybe heated bit cold go night,"The location is accessed by boat, so it takes some time to leave (even when you book in advance) because they like to wait for other guests. The bed is really firm so we didn't sleep great. The pool / Jacuzzi could be cleaned a bit better and maybe heated a bit (was too cold to go in at night)","The design of the room and the property is spectacular. The views from the room are so beautiful - you can see Philae temple. The staff are lovely. Also, I am gluten free, and the restaurant was very accommodating and understanding. Finally they brought breakfast to our room each day and it was amazing.",-1,"['gluten free restaurant', 'property spectacular views', 'room', 'philae temple', 'staff lovely']","['cold night', 'takes time', 'bed really firm', 'pool jacuzzi cleaned', 'location accessed boat']","['room', 'restaurant', 'staff']","['location', 'pool', 'bed']"
Aswan,Eco Nubia,Carine,Belgium,2 nights   ,February 2024,Solo traveler,Double or Twin Room with View,"February 14, 2024",beautifull place stay perfect people kind situation front philae temple great really enjoy go eco nubia,negative feedback,No Negative Feedback,Just a beautifull place to stay 👍😍🤩....All was perfect 👌...The people are very kind 😊...The situation in front of Philae temple is so Great...I really enjoy to go to Eco Nubia 🌟🌞🌟,1,"['situation philae temple', 'really enjoy', 'place stay perfect', 'eco', 'nubia']",[],[],[]
Luxor,Abeer Guest House,Habibi0,Egypt,1 night   ,Feb-24,Solo traveler,One-Bedroom Apartment,"February 13, 2024",central location great roof welcoming great breakfast austins helpful really enjoyed stay,negative feedback,No Negative Feedback,Central location. Great roof. Very welcoming. Great breakfast. Austins was very helpful. Really enjoyed my stay.,1,"['central', 'roof', 'breakfast', 'austins', 'really enjoyed stay']",[],['breakfast'],[]
Aswan,Nuba Dool,Dubiellak,Canada,2 nights   ,October 2023,Couple,Standard Double or Twin Room with Sea View,"October 5, 2023",close ferry restaurants rooms spotless beds comfy staff super friendly breakfast amazing,negative think bathroom tap leaked tiny bit otherwise room perfect us,Only negative I can think of is the bathroom tap leaked a tiny bit otherwise room was perfect for us.,Close to the ferry and restaurants. Rooms were spotless. Beds comfy. Staff super friendly and breakfast was amazing.,-1,"['staff super', 'friendly', 'close ferry', 'breakfast', 'rooms spotless']","['bit', 'negative think', 'tap leaked', 'room perfect', 'bathroom']","['breakfast', 'staff']",['room']
Sharm El Sheikh,Sunrise Arabian Beach Resort,Kashif,Pakistan,4 nights   ,December 2024,Couple,Superior Room,"December 9, 2024",staff corteous mr yunus manager toes meal breakfast beach blue clean gives vibes greece different resturants e italian indian thai cherry top inclusive fish chips pizza amazining beach bar,slides kids small water park area adults kids resturant reservations always available bit far namabay soho square free shuttle service,Should be slides for kids ... small water park area for adults & kids. Resturant reservations was not always available. Bit far from namabay & soho square. Free Shuttle service should be there,"Staff was very corteous. Mr. Yunus manager was on toes during meal/breakfast. Beach was blue & clean and gives you vibes of greece. Different resturants, i.e italian, indian, thai was cherry on the top (all inclusive). Fish & chips and pizza was amazining in beach bar",-1,"['blue clean', 'meal breakfast', 'greece', 'mr yunus manager', 'beach']","['area adults kids', 'small water', 'slides', 'free shuttle service', 'resturant reservations available']","['beach', 'breakfast', 'clean']",['service']
Luxor,Pyramisa Hotel Luxor,Munawar,United Kingdom,1 night   ,May-24,Family,Standard Double Room with City View,"May 28, 2024",facilities excellent location tourists perfect fantastic breakfast whole family enjoyed breakfast choices,one bathroom tub clean water blocking shower tub smelly good room booked used bathroom instead facility staff quick enough fix,"One of the Bathroom tub was not clean, the water was blocking in the shower tub and smelly. It was good that we had the other room booked and we used that bathroom instead as the facility staff was not quick enough to fix it.",The facilities are excellent and location for tourists are perfect and fantastic breakfast. The whole family enjoyed the breakfast choices.,-1,"['perfect', 'family', 'tourists', 'facilities excellent', 'breakfast choices']","['smelly', 'clean', 'room booked', 'water blocking', 'bathroom tub']",['breakfast'],"['room', 'clean']"
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Damacrine,Kenya,1 night   ,January 2025,Family,Deluxe Double or Twin Room with Garden View,"January 23, 2025",everything exceptional service offered whole team led mr hussein manager rooms beautiful modern absolutely clean,negative feedback,No Negative Feedback,"Everything and the exceptional service offered by the whole team led by Mr. Hussein Manager

Rooms are beautiful,modern and absolutely clean",1,"['team led', 'mr hussein', 'service offered', 'absolutely clean', 'rooms beautiful']",[],"['clean', 'service']",[]
Sharm El Sheikh,V Hotel Sharm El Shiekh,Strykun,Netherlands,7 nights   ,December 2024,Family,Premium Double Room with Sea View,"December 9, 2024",new fresh rooms pleasant stuff amazing kitchen would recommend visit sea food malai restaurant property chinese one main restaurant perfect,little annoying spa selling guys massage spa top notch girls amazing wish selling guys less annoying,"A little annoying spa selling guys, but the massage in the spa is top notch! Girls are amazing, I wish the selling guys were less annoying.","New fresh rooms, very pleasant stuff and amazing kitchen! I would recommend to visit sea food (Malai) restaurant at the property but not the Chinese one, because the main restaurant is perfect as it is.",-1,"['food malai', 'recommend visit', 'sea food', 'new fresh rooms', 'restaurant property chinese']","['girls amazing wish', 'spa notch', 'selling', 'guys annoying', 'massage']","['sea', 'food', 'restaurant']",[]
Aswan,Citymax Hotel Aswan,Gaspar,Argentina,4 nights   ,October 2023,Solo traveler,Superior Single Room,"November 1, 2023",location good room much bigger expected everything might need short stay clean comfortable breakfast excellent staff lovely,comment needed transportation hotel aswan airport avoid scams street requested ride reception charged egyptian pounds later found taxi cab street would charged egyptian pounds uber service aswan tip use drive app,"Only comment i have is that i needed transportation from the hotel to Aswan Airport, and to avoid scams on the street i requested the ride in reception and i was charged 950 egyptian pounds, later i found out a taxi cab on the street would've charged me 180 Egyptian pounds. There is no Uber service in Aswan, tip: use In Drive app","Location was very good, the room was much bigger than expected with everything you might need for a short stay.
It was clean and very comfortable, breakfast was excellent and the staff was lovely.",-1,"['need short', 'location', 'staff lovely', 'breakfast excellent', 'room bigger expected']","['charged 950 egyptian', 'airport avoid', 'transportation hotel', 'uber service', 'aswan']","['location', 'breakfast', 'room', 'staff']","['hotel', 'service']"
Aswan,Bob Marley Guest House,Jack,Australia,3 nights   ,January 2025,Solo traveler,Deluxe Queen Room,"January 21, 2025",queen room spacious good value money good quiet location elephantine island food service excellent owner ali always happy help organising tours transport,negative feedback,No Negative Feedback,Queen room was spacious and good value for money. Good quiet location on elephantine island. Food and service excellent. Owner Ali always happy to help with organising tours and transport.,1,"['owner ali happy', 'organising tours', 'elephantine', 'food service excellent', 'queen room']",[],"['food', 'room', 'service']",[]
Sharm El Sheikh,Rixos Premium Seagate Ultra Inclusive,Jasem,Kuwait,3 nights   ,December 2024,Family,Superior Suite Aqua,"December 21, 2024",luxury relaxing lot activities amazing adults families,mosquito,Mosquito.,"Luxury, relaxing, a lot of activities and amazing for adults and families.",-1,"['amazing', 'lot', 'adults', 'families', 'relaxing']",[],[],[]
Aswan,Kana Kato,Rasch,Egypt,3 nights   ,December 2024,Family,Superior Triple Room with Sea View,"December 8, 2024",friendly staff,shampoo poor bed hard,Shampoo very poor and the bed too hard,Very friendly staff,-1,[],"['poor', 'hard', 'bed', 'bed hard', 'shampoo']",[],['bed']
Aswan,Basma Hotel Aswan,Jerry,United States,2 nights   ,December 2023,Group,Deluxe Double Room Nile View,"December 11, 2023",basma hotel charming historical hotel aswan beautiful property sit heart city great room views overlooking city much impressed rehma customer service manager basma hotel took care needs coming property stay always tell people makes hotel experience great great staff,honest issues stay travel team,"To be honest, there were no issues of my stay or for my travel team of 5.","The Basma Hotel is a charming/historical hotel in Aswan. It's beautiful property sit in the heart of the city with great room views overlooking the city. I'm much impressed with Rehma - the Customer Service Manager of Basma Hotel. She took care of our needs before coming to the property and during our stay. I always tell people, what makes a hotel experience great is having 'great' staff.",-1,"['people makes hotel', 'experience great', 'aswan beautiful property', 'rehma customer service', 'manager basma']","['honest', 'team', 'stay', 'issues stay', 'travel']","['hotel', 'service']",[]
Sharm El Sheikh,Reef Oasis Blue Bay Resort Spa,Jamie,United Kingdom,8 nights   ,January 2025,Family,Superior Double or Twin Room with Garden View,"January 22, 2025",challenging stay made memorable exceptional service ashley stay fair share challenges primarily due miscommunication departments caused several issues however want thank front office assistant manager amy guest relations efforts ensuring experience ended positively possible real highlight stay outstanding service provided mr ashley cole care professionalism dedication went beyond turning difficult situation memorable experience truly made significant impact stay thank enough exceptional efforts areas improvement particularly internal communication giving experience entirely mr ashley cole remarkable service true asset team,negative feedback,No Negative Feedback,"""A Challenging Stay Made Memorable by Exceptional Service from Ashley 🫡

Our stay had its fair share of challenges, primarily due to miscommunication between departments, which caused several issues. However, we want to thank the Front Office Assistant Manager and Amy from Guest Relations for their efforts in ensuring the experience ended as positively as possible.

The real highlight of our stay was the outstanding service provided by Mr. Ashley Cole. His care, professionalism, and dedication went above and beyond, turning a difficult situation into a memorable experience. He truly made a significant impact on our stay, and we cannot thank him enough for his exceptional efforts.

While there are areas for improvement, particularly with internal communication, we are giving this experience a 10/10, entirely because of Mr. Ashley Cole's remarkable service. He is a true asset to the team.",1,"['challenging stay memorable', 'service ashley', 'experience ended positively', 'mr ashley cole', 'thank exceptional efforts']",[],['service'],[]
Sharm El Sheikh,Cleopatra Luxury Resort Sharm Adults years plus,Bruno,Switzerland,3 nights   ,February 2025,Couple,Swim Up Room,"February 16, 2025",say without doubt stars staff super friendly always attentive needed anything always smile faces thinking going shops papyrus shop incredible great food even though vegetarian pools clean even one suites,nothing say,Nothing to say,"All I have to say is that it is without a doubt 5 stars. All the staff were super friendly, always attentive if we needed anything, always with a smile on their faces.
If you're thinking of going to the shops, there's a papyrus shop that's just incredible.
Great food, even though I'm a vegetarian.
The pools are very clean, even the one in the suites.",-1,"['clean suites', 'friendly attentive', 'pools', 'incredible great food', 'papyrus shop just']",[],"['food', 'clean']",[]
Aswan,Queen House,Daniele,Malta,2 nights   ,September 2024,Family,Twin Room with Private Bathroom,"September 11, 2024",house enchanting view fantastic serve traditional breakfast balcony stunning view nile owners kind friendly,bit dusty,It's a bit dusty,The house is enchanting and the view fantastic! They serve traditional breakfast on the balcony with a stunning view on the Nile. The owners are kind and friendly.,-1,"['nile', 'kind friendly', 'owners', 'traditional breakfast', 'balcony stunning']",[],"['nile', 'breakfast']",[]
Sharm El Sheikh,Renaissance Sharm El Sheikh Golden View Beach Resort,Norah,Saudi Arabia,5 nights   ,August 2024,Family,"Premium Sea View Room, Guest room, Sea view, 1 King","August 31, 2024",staff starting servers resturant servers beach driver gulf car fast polite pleaseant,noisy resturant overcrowded people buffet,"Very very very noisy
The resturant was overcrowded and people was all over the buffet","The staff !!
Starting from the servers in the resturant to the servers in the beach to the driver the gulf car
They were fast and very polite and pleaseant",-1,"['pleaseant', 'beach', 'car fast', 'resturant servers', 'staff starting']","['people', 'resturant', 'noisy', 'overcrowded', 'buffet']","['beach', 'staff']",[]
Aswan,Ekadolli Nubian Guesthouse kerma hospitality,Mai,Egypt,1 night   ,September 2024,Couple,Double or Twin Room,"September 14, 2024",beautiful design whole place unique vibe delicious food restaurant extremely kind helpful staff contact better via whatsapp via booking great view nile roof close nubian market camel rides everyone us also make wonderful program visit sightseeing aswan highly recommended,nothing,Nothing,"Beautiful design of the whole place with unique vibe. Delicious food in the restaurant. Extremely kind and helpful staff. Contact better via Whatsapp than via Booking. Great view on the Nile roof and close to the Nubian market/camel rides.
Everyone about us also they make a wonderful program to visit the sightseeing in aswan , highly recommended",1,"['market camel', 'view nile', 'aswan highly recommended', 'better whatsapp booking', 'delicious food restaurant']",[],"['restaurant', 'nile', 'view', 'food']",[]
Sharm El Sheikh,Xperience Kiroseiz Parkland,Abazar,United Arab Emirates,2 nights   ,December 2023,Family,Standard Room,"January 13, 2024",breakfast good many options available freshly prepared eggs pancakes great,lunch dinner beef chicken mutton dishes even veggies much delicious lacked flavour bland,"Lunch and dinner had beef and chicken but no mutton dishes. 
Even the veggies were not much delicious, lacked flavour, very bland.","Breakfast was good, many options available. Freshly prepared eggs and pancakes were great",-1,"['available freshly', 'options available', 'good', 'prepared eggs', 'pancakes']","['flavour', 'bland', 'lacked', 'veggies', 'beef chicken']",[],[]
Hurghada,Casa Cook El Gouna Adults,Saad,Egypt,2 nights   ,June 2024,Couple,Premium King Terrace Sea View,"June 15, 2024",quiet beautiful place cozy enjoyed quiet swimming pool clean place environmentally friendly rooms amazing views stuff super friendly food delicious rooms clean spent amazing vacation,amazing,All is amazing,A quiet and beautiful place it's very cozy. I enjoyed the quiet. The swimming pool is very clean. The place is environmentally friendly and the rooms have amazing views The stuff I super friendly The food is very delicious Rooms are very clean I spent amazing vacation,-1,"['food delicious rooms', 'place environmentally friendly', 'vacation', 'cozy enjoyed quiet', 'swimming pool']",[],"['food', 'pool']",[]
Hurghada,Serenity Alpha Beach Ex Serenity Makadi Beach,Vikki,United Kingdom,3 nights   ,January 2025,Couple,Honeymooners Romantic Package (Couples Only),"January 7, 2025",lovely setting rooms clean spacious,small pool heated kids playing day entrainment water aerobics also left nowhere adult swimmers go,Only 1 small pool heated. This had a the kids playing in it all day and the entrainment such as water aerobics was also in there. This left nowhere for adult swimmers to go.,"Lovely setting, rooms were very clean and spacious.",-1,"['setting', 'clean', 'lovely', 'rooms', 'clean spacious']","['entrainment', 'small', 'kids playing', 'heated', 'aerobics left adult']",['clean'],[]
Sharm El Sheikh,Xperience Kiroseiz Parkland,Ilaria,Egypt,2 nights   ,October 2022,Family,Special Offer- Standard Room- Egyptians and Residents Only,"October 17, 2022",animation team best taz ezzat great made us feel welcome best animation team ever seen janet great friendly made stay better friendly postive time abanoub nassef beach bar helpful friendly great mohamed salah reception amazing made whole check process stay easy,negative feedback,No Negative Feedback,"The animation team was the best - Taz ( ezzat) was great ! Made us feel so welcome ✌️The best animation team I have ever seen . Janet was great 👏♥️ So friendly and made the stay better. 
Very friendly and postive all the time. 
Abanoub and Nassef on the beach bar were so helpful friendly and Great 👍🏼 
Mohamed Salah in the reception is amazing 🤩 made the whole check in process and the stay easy.",1,"['feel welcome best', 'beach bar helpful', 'mohamed salah reception', 'ezzat great', 'animation team seen']",[],"['reception', 'beach']",[]
Aswan,Citymax Hotel Aswan,Cyril,Switzerland,1 night   ,December 2023,Couple,Standard Twin Room,"January 2, 2024",big hotel near city center aswan front row view cruise harbour mall food court building rooms big comfortable,rooms old parts hotel quite run questionable maintenance state isolation non existent street noise bad wi fi free available everywhere slow signal poor changed usd reception staff would accept new bank notes came back minutes change dirtiest worn notes ever seen cleanliness could improved fair margin,"The rooms are old and some parts of the hotel are quite run down or are in a questionable maintenance state. Isolation is non-existent and street noise is bad. Wi-Fi is free and available everywhere, but very slow and signal is poor. We changed 100 USD at the reception, the staff would only accept new bank notes, and came back after 20 minutes with our change - the dirtiest worn out notes I've ever seen... Cleanliness could be improved by a fair margin.","Big hotel near the city center of Aswan, front row with view on the cruise harbour, mall with food court in the building. The rooms are big and comfortable.",-1,"['mall food', 'aswan row', 'big comfortable', 'cruise harbour', 'building rooms']","['dirtiest', 'usd reception staff', 'poor changed', 'bad wi fi', 'rooms']",['food'],['staff']
Sharm El Sheikh,Serenity Lodge,Oscar,United Kingdom,2 nights   ,July 2024,Solo traveler,Triple Room,"July 23, 2024",lovely views relatively quiet helpful staff,still building work taking place lack furniture room shops minutes walk away,"Still some building work taking place
Lack of furniture in room
Shops about 15-20 minutes walk away","Lovely views
Relatively quiet
Helpful staff",-1,"['relatively', 'helpful', 'quiet', 'staff', 'lovely views']","['lack', 'work', 'shops 15', 'furniture room', '20 minutes walk']",['staff'],['room']
Aswan,Meshra Katto,Lars,Sweden,2 nights   ,February 2024,Solo traveler,Studio with Sea View,"March 14, 2024",excellent choice good value money helpful manager mohamed helped arranging sorts transportation decent price good advice general highly recommended traveling budget save hotel bucks luxor cairo pretty view room overlooking nile well roof top terrace,negative feedback,No Negative Feedback,"This was an excellent choice - good value for money and a very helpful manager, Mohamed, who helped in arranging all sorts of transportation at a decent price and has good advice in general. Highly recommended if you are traveling on a budget. Save your hotel bucks for Luxor and Cairo. And a very pretty view from the room overlooking the Nile as well as from the roof top terrace.",1,"['helpful manager mohamed', 'price good advice', 'transportation decent', 'room overlooking nile', 'luxor']",[],"['nile', 'room']",[]
Luxor,Kemet House,Rüdiger,Germany,3 nights   ,Dec-24,Family,Deluxe Room,"December 22, 2024",die unterkunft ist eine oase der gastfreundschaft und somit auch ein hort der sicherheit das ehepaar k mmert sich intensiv um die g ste organisiert auch verschiedene besichtigungen bzw programmpunkte wie segeln auf dem nil war alles perfekt,nichts,Nothing,The accommodation is an oasis of hospitality and therefore also a haven of security. The couple takes care of the guests intensively also organizes various visits or program items such as sailing on the Nile. - everything was perfect.,-1,"['organizes various visits', 'couple takes', 'haven security', 'nile perfect', 'care guests intensively']",[],['nile'],[]
