City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
"Amphoras Beach - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Beach - Ultra All Inclusive,Scored 8.2,8.5,8.1,8.2,8.5,8.6,8.8,6.3
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"Luxury Sharm Hills Resort (Hotel), Sharm El Sheikh (Egypt) Deals",Luxury Sharm Hills Resort,Scored 10,10,10,10,10,10,10,No Rate
"Reef Oasis Beach Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Beach Aqua Park Resort,Scored 9.1,9.2,9.1,9.1,9.2,9.0,9.6,7.1
"Sunrise Arabian Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Arabian Beach Resort,Scored 9.5,9.6,9.6,9.6,9.6,9.3,9.5,8.7
"Amphoras Blu (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Blu,Scored 8.3,8.9,8.2,8.3,8.3,8.7,8.9,9.0
"Grand Oasis Resort (Resort), Sharm El Sheikh (Egypt) Deals",Grand Oasis Resort,Scored 8.7,9.1,8.5,8.7,8.7,8.9,9.1,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Rixos Premium Seagate - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Rixos Premium Seagate - Ultra All Inclusive,Scored 9,9.2,9.3,9.3,9.2,8.5,9.2,7.6
Sierra Sharm El Sheikh (Resort) (Egypt) Deals,Sierra Sharm El Sheikh,Scored 9.4,9.6,9.5,9.6,9.6,9.4,9.5,9.2
Pickalbatros Aqua Park Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Park Sharm El Sheikh,Scored 9.1,9.4,9.3,9.3,9.3,8.9,9.1,8.7
"Reef Oasis Blue Bay Resort & Spa (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Blue Bay Resort & Spa,Scored 8.9,9.0,9.0,9.1,9.1,8.9,9.3,7.9
Renaissance Sharm El Sheikh Golden View Beach Resort (Resort) (Egypt) Deals,Renaissance Sharm El Sheikh Golden View Beach Resort,Scored 8.5,8.9,8.7,9.0,9.0,8.4,8.9,9.7
Savoy Sharm El Sheikh (Resort) (Egypt) Deals,Savoy Sharm El Sheikh,Scored 8.7,9.0,8.9,9.0,9.0,8.5,9.3,No Rate
"Xperience Kiroseiz Parkland (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Kiroseiz Parkland,Scored 7.9,8.3,8.3,8.1,8.1,8.0,8.4,7.9
Four Seasons Resort Sharm El Sheikh (Resort) (Egypt) Deals,Four Seasons Resort Sharm El Sheikh,Scored 9.3,9.5,9.5,9.5,9.7,8.6,9.6,8.8
"Jaz Belvedere Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Belvedere Resort,Scored 9.3,9.6,9.3,9.5,9.5,9.4,9.3,8.1
"Pickalbatros Palace Sharm - ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Palace Sharm - ""Aqua Park""",Scored 9.4,9.6,9.5,9.7,9.7,9.3,9.5,8.2
"Cleopatra Luxury Resort Sharm - Adults Only 16 years plus (Hotel), Sharm El Sheikh (Egypt) Deals",Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,Scored 9.4,9.5,9.4,9.6,9.6,9.3,9.4,7.9
"Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive,Scored 9.5,9.6,9.6,9.7,9.7,9.4,9.5,9.4
"Pickalbatros Royal Moderna Sharm ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Royal Moderna Sharm ""Aqua Park""",Scored 9.3,9.5,9.4,9.5,9.4,9.2,9.3,8.0
"Verginia Sharm Resort & Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Verginia Sharm Resort & Aqua Park,Scored 9,9.4,9.0,9.0,9.0,9.1,9.0,5.7
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.9
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"Sentido Reef Oasis Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sentido Reef Oasis Aqua Park Resort,Scored 9.3,9.6,9.4,9.4,9.4,9.3,9.6,7.8
"Amphoras Beach - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Beach - Ultra All Inclusive,Scored 8.2,8.5,8.1,8.2,8.5,8.6,8.8,6.3
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"Luxury Sharm Hills Resort (Hotel), Sharm El Sheikh (Egypt) Deals",Luxury Sharm Hills Resort,Scored 10,10,10,10,10,10,10,No Rate
"Sharm Hills Hotel Apartments (Apartment), Sharm El Sheikh (Egypt) Deals",Sharm Hills Hotel Apartments,Scored 10,10,10,10,10,10,10,No Rate
"Reef Oasis Beach Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Beach Aqua Park Resort,Scored 9.1,9.2,9.1,9.1,9.2,9.0,9.6,7.1
"Sunrise Arabian Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Arabian Beach Resort,Scored 9.5,9.6,9.6,9.6,9.6,9.3,9.5,8.7
"Amphoras Blu (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Blu,Scored 8.3,8.9,8.2,8.3,8.3,8.7,8.9,9.0
"Grand Oasis Resort (Resort), Sharm El Sheikh (Egypt) Deals",Grand Oasis Resort,Scored 8.7,9.1,8.5,8.7,8.7,8.9,9.1,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Rixos Premium Seagate - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Rixos Premium Seagate - Ultra All Inclusive,Scored 9,9.2,9.3,9.3,9.2,8.5,9.2,7.6
Sierra Sharm El Sheikh (Resort) (Egypt) Deals,Sierra Sharm El Sheikh,Scored 9.4,9.6,9.5,9.6,9.6,9.4,9.5,9.2
Pickalbatros Aqua Park Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Park Sharm El Sheikh,Scored 9.1,9.4,9.3,9.3,9.3,8.9,9.1,8.7
"Reef Oasis Blue Bay Resort & Spa (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Blue Bay Resort & Spa,Scored 8.9,9.0,9.0,9.1,9.1,8.9,9.3,7.9
Renaissance Sharm El Sheikh Golden View Beach Resort (Resort) (Egypt) Deals,Renaissance Sharm El Sheikh Golden View Beach Resort,Scored 8.5,8.9,8.7,9.0,9.0,8.4,8.9,9.7
Savoy Sharm El Sheikh (Resort) (Egypt) Deals,Savoy Sharm El Sheikh,Scored 8.7,9.0,8.9,9.0,9.0,8.5,9.3,No Rate
"Xperience Kiroseiz Parkland (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Kiroseiz Parkland,Scored 7.9,8.3,8.3,8.1,8.1,8.0,8.4,7.9
Four Seasons Resort Sharm El Sheikh (Resort) (Egypt) Deals,Four Seasons Resort Sharm El Sheikh,Scored 9.3,9.5,9.5,9.5,9.7,8.6,9.6,8.8
"Pickalbatros Palace Sharm - ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Palace Sharm - ""Aqua Park""",Scored 9.4,9.6,9.5,9.7,9.7,9.3,9.5,8.2
"Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive,Scored 9.5,9.6,9.6,9.7,9.7,9.4,9.5,9.4
"Pickalbatros Royal Grand Sharm - Adults Friendly 16 Years Plus (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Royal Grand Sharm - Adults Friendly 16 Years Plus,Scored 9.5,9.7,9.5,9.6,9.7,9.5,9.6,8.8
"Pickalbatros Royal Moderna Sharm ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Royal Moderna Sharm ""Aqua Park""",Scored 9.3,9.5,9.4,9.5,9.4,9.2,9.3,8.0
"Xperience Kiroseiz AquaPark Premier-Naama Bay (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Kiroseiz AquaPark Premier-Naama Bay,Scored 7.8,8.3,8.1,8.0,8.0,8.0,8.3,8.1
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.9
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"Chalet in Porto sharm The View (Chalet), Sharm El Sheikh (Egypt) Deals",Chalet in Porto sharm The View,Scored 1,2.5,2.5,2.5,2.5,2.5,2.5,No Rate
"Sentido Reef Oasis Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sentido Reef Oasis Aqua Park Resort,Scored 9.3,9.6,9.4,9.4,9.4,9.3,9.6,7.8
"Amphoras Beach - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Beach - Ultra All Inclusive,Scored 8.2,8.5,8.1,8.2,8.5,8.6,8.8,6.3
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"Reef Oasis Beach Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Beach Aqua Park Resort,Scored 9.1,9.2,9.1,9.1,9.2,9.0,9.6,7.1
"Sunrise Arabian Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Arabian Beach Resort,Scored 9.5,9.6,9.6,9.6,9.6,9.3,9.5,8.7
"Amphoras Blu (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Blu,Scored 8.3,8.9,8.2,8.3,8.3,8.7,8.9,9.0
"Jaz Fayrouz (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fayrouz,Scored 8.8,9.2,8.7,9.0,9.0,8.8,9.5,No Rate
"Grand Oasis Resort (Resort), Sharm El Sheikh (Egypt) Deals",Grand Oasis Resort,Scored 8.7,9.1,8.5,8.7,8.7,8.9,9.1,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Rixos Premium Seagate - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Rixos Premium Seagate - Ultra All Inclusive,Scored 9,9.2,9.3,9.3,9.2,8.5,9.2,7.6
Sierra Sharm El Sheikh (Resort) (Egypt) Deals,Sierra Sharm El Sheikh,Scored 9.4,9.6,9.5,9.6,9.6,9.4,9.5,9.2
"Sharm Dreams Vacation Club - Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Sharm Dreams Vacation Club - Aqua Park,Scored 8,8.7,8.0,7.7,7.9,8.3,8.7,9.4
Pickalbatros Aqua Park Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Park Sharm El Sheikh,Scored 9.1,9.4,9.3,9.3,9.3,8.9,9.1,8.7
"Reef Oasis Blue Bay Resort & Spa (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Blue Bay Resort & Spa,Scored 8.9,9.0,9.0,9.1,9.1,8.9,9.3,7.9
Renaissance Sharm El Sheikh Golden View Beach Resort (Resort) (Egypt) Deals,Renaissance Sharm El Sheikh Golden View Beach Resort,Scored 8.5,8.9,8.7,9.0,9.0,8.4,8.9,9.7
Aida Hotel Sharm El Sheikh (Hotel) (Egypt) Deals,Aida Hotel Sharm El Sheikh,Scored 6.6,8.0,6.7,6.5,6.8,7.7,8.1,6.5
Savoy Sharm El Sheikh (Resort) (Egypt) Deals,Savoy Sharm El Sheikh,Scored 8.7,9.0,8.9,9.0,9.0,8.5,9.3,No Rate
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.5,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.1,8.4,8.2,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"أسوان (Boat), Aswan (Egypt) Deals",أسوان,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.1,9.3
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
"Villa Misk (Villa), Aswan (Egypt) Deals",Villa Misk,Scored 8,8.2,7.9,8.0,8.3,7.6,8.1,No Rate
"Baba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Baba Dool,Scored 9,9.4,8.3,8.9,8.9,9.0,9.4,6.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2
"Nubian Dreams Guest House (Guesthouse), Aswan (Egypt) Deals",Nubian Dreams Guest House,Scored 8.4,9.2,7.9,8.5,8.8,8.5,9.5,10
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.3
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3
"Baba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Baba Dool,Scored 9,9.4,8.3,8.9,8.9,9.0,9.4,6.6
"Gloria Aqua Park Hotel (Hotel), Aswan (Egypt) Deals",Gloria Aqua Park Hotel,Scored 8,8.9,8.4,8.8,8.9,8.2,6.8,7.0
"The Zen Wellness Resort (Resort), Aswan (Egypt) Deals",The Zen Wellness Resort,Scored 7.5,8.1,7.5,8.1,8.2,7.3,7.1,8.8
"La Terrace (Guesthouse), Aswan (Egypt) Deals",La Terrace,Scored 9.7,9.9,9.4,9.7,9.7,9.7,9.7,8.3
"ABAZIDO Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",ABAZIDO Nubian Guest House,Scored 9.4,9.7,8.9,9.4,9.4,9.4,9.7,7.9
"Nile View Guest House (Guesthouse), Aswan (Egypt) Deals",Nile View Guest House,Scored 9.4,9.7,8.9,9.3,9.2,9.4,9.7,10.0
"Queen House (Guesthouse), Aswan (Egypt) Deals",Queen House,Scored 9.3,9.7,8.9,9.3,9.3,9.4,9.4,10
"El-amin Guest House (Guesthouse), Aswan (Egypt) Deals",El-amin Guest House,Scored 8.8,9.5,8.7,8.9,8.8,9.3,9.5,8.3
"The Mango Guest House (Guesthouse), Aswan (Egypt) Deals",The Mango Guest House,Scored 9.1,9.5,9.0,9.4,9.4,9.4,9.0,8.5
"Eco Nubia (Lodge), Aswan (Egypt) Deals",Eco Nubia,Scored 8.8,9.3,8.4,8.6,8.9,8.5,9.7,4.3
"Bob Marley Guest House (Guesthouse), Aswan (Egypt) Deals",Bob Marley Guest House,Scored 9,9.5,8.8,9.1,9.0,9.2,9.3,8.6
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 8.9,9.2,8.6,8.9,8.9,8.7,9.4,8.1
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate
